fecha	hora	demanda
2022-09-02	7	8894,920909287497
2022-09-02	8	9252,029875338601
2022-09-02	9	9721,180738031804
2022-09-02	10	10058,322524698002
2022-09-02	11	10007,172774741
2022-09-04	7	7650,472810717308
2022-09-08	13	10719,212446755097
2022-09-10	19	9372,585566225207
2022-09-11	7	7550,139212925298
2022-09-11	19	8621,744532475108
2022-09-12	11	10130,835564803008
2022-09-16	4	8054,927395604899
2022-09-20	3	8165,368321405302
2022-09-24	8	8674,441890068792
2022-09-24	21	10280,389941059195
2022-09-25	2	8719,853117771705
2022-09-25	17	8452,3165533098
2022-09-26	5	8189,619441996999
2022-09-26	17	10017,905113988802
2022-09-27	5	8317,5943380035
2022-09-27	18	9104,443427553602
2022-09-28	6	8423,445927733104
2022-09-28	18	9131,483907151302
2022-09-29	6	8453,007962435096
2022-09-29	18	9282,680146048699
2022-09-30	6	8297,135792652196
2022-09-30	17	9528,458834863295
2022-09-30	18	9000,660877222801
2022-09-30	19	8571,7856291772
2022-09-30	20	9061,594997605987
2022-09-30	21	9555,1026780344
2022-07-31	23	10064,928452843196
2022-08-01	7	8924,717849473305
2022-08-01	21	10762,785510280499
2022-08-07	9	7834,297365205304
2022-08-07	20	10594,2537730001
2022-08-07	21	10625,784496778304
2022-08-08	10	10560,6756867619
2022-08-08	23	10395,711714214203
2022-08-13	24	9459,1130279323
2022-08-14	9	7970,568984603706
2022-08-16	1	8901,743755289699
2022-08-20	14	9314,685060639702
2022-08-20	22	9842,492554727405
2022-08-23	3	8360,004077553602
2022-08-23	16	9874,61399127231
2022-08-24	5	8060,892585866397
2022-08-27	6	7935,235281041201
2022-09-01	5	8194,499892566497
2022-09-12	7	8438,335207161792
2022-09-26	4	8194,161954244602
2022-09-30	24	9462,498248725302
2022-01-01	1	8703,964685961802
2022-01-01	2	8568,922511027999
2022-01-01	3	8361,776356552697
2022-01-01	4	8093,049083540193
2022-01-01	5	7938,442623457893
2022-01-01	6	7812,242565378902
2022-01-01	7	7683,461177635201
2022-01-01	8	7519,022072008001
2022-01-01	10	7603,880969919104
2022-01-01	11	7843,726800630592
2022-01-01	12	8094,707192200305
2022-01-01	13	8263,206634736502
2022-01-01	14	8452,290911937813
2022-01-01	15	8477,870763673696
2022-01-07	10	10230,562530353605
2022-01-01	16	8443,084418425404
2022-01-01	17	8407,159343874793
2022-01-07	11	10491,854343101513
2022-01-01	18	8379,510334658095
2022-01-01	19	8320,442947099617
2022-01-01	20	8370,664851536203
2022-01-07	12	10768,425636947995
2022-01-01	21	8702,116970073905
2022-01-07	13	10832,929215287202
2022-01-01	23	9187,358578555495
2022-01-07	14	10942,912044307395
2022-01-01	24	8971,943993412899
2022-01-07	15	11004,217151077592
2022-01-07	16	11119,289255660002
2022-01-02	1	8548,012131892296
2022-01-07	17	11072,687999261205
2022-01-02	2	8297,3143785158
2022-01-07	18	10768,377010452603
2022-01-07	19	10511,156518747384
2022-01-02	3	8089,217667985995
2022-01-07	20	10280,698787180005
2022-01-02	4	7878,366577742095
2022-01-07	21	10263,154868564401
2022-01-02	5	7729,802558982906
2022-01-02	6	7604,076452343002
2022-01-02	7	7583,375921763897
2022-01-02	8	7524,137791191399
2022-01-07	23	10575,042580486297
2022-01-07	24	10214,9731668011
2022-01-08	1	9779,3355751243
2022-01-02	9	7631,316779891708
2022-01-02	10	7960,398230801398
2022-01-02	12	8562,928852004605
2022-01-08	2	9324,181403503997
2022-01-02	13	8770,0690028075
2022-01-08	3	8965,683432870592
2022-01-02	14	8972,315000065697
2022-01-08	4	8712,720814318594
2022-01-08	5	8595,1126550238
2022-01-02	15	9055,276679996496
2022-01-02	16	8995,471789181203
2022-01-08	6	8565,693185970498
2022-01-02	17	8923,093895396496
2022-01-02	18	8923,401241882888
2022-01-08	7	8563,8491891102
2022-01-08	8	8618,330022561404
2022-01-02	19	8897,8241476549
2022-01-08	9	8865,228626711989
2022-01-02	20	8788,384834988701
2022-01-08	10	9464,853413956802
2022-01-02	21	8990,818202259192
2022-01-08	12	9899,5908593805
2022-01-02	22	9475,189352607198
2022-01-08	13	10021,536114350893
2022-01-02	23	9556,820465486599
2022-01-08	14	10062,015032293195
2022-01-08	15	10021,336343909095
2022-01-03	1	8909,589477605898
2022-01-08	16	9916,0526403764
2022-01-03	2	8523,640888083302
2022-01-03	3	8251,954214296102
2022-01-08	17	9710,160110292003
2022-01-08	18	9621,597076077403
2022-01-08	19	9532,699486953996
2022-01-03	4	8072,132683186399
2022-01-08	20	9460,597828270997
2022-01-08	21	9478,269775336696
2022-01-08	22	9754,215327766591
2022-01-08	23	9639,887276689906
2022-01-09	1	8846,061994237298
2022-01-09	2	8520,570295612803
2022-01-09	3	8183,915477387007
2022-01-03	5	8087,965306570803
2022-01-09	4	7991,8973299703
2022-01-09	5	7875,353092638204
2022-01-03	6	8103,387741141301
2022-01-09	6	7813,4476910832045
2022-01-03	7	8299,053482234804
2022-01-09	7	7772,618980809296
2022-01-03	8	8580,051200758899
2022-01-09	8	7654,516573565904
2022-01-03	9	9277,745169342212
2022-01-09	9	7899,665771845988
2022-01-03	10	9796,612263118312
2022-01-09	10	8304,909410250102
2022-01-09	11	8594,745890357592
2022-01-03	11	10085,900844508711
2022-01-09	12	8962,429360838012
2022-01-09	14	9133,998517223798
2022-01-03	12	10360,301403599296
2022-01-09	15	9136,90685947049
2022-01-09	16	9128,865320866993
2022-01-09	17	8965,080748670593
2022-01-09	18	8896,0665724414
