fecha	hora	demanda
2022-11-14	7	8511,415611505996
2022-11-14	8	8863,501540532196
2022-11-14	9	9216,811851747509
2022-11-14	10	9636,369529714591
2022-11-14	11	9862,959821754386
2022-11-14	12	10010,46132941801
2022-11-14	13	10140,153822835202
2022-11-14	14	10197,788641635594
2022-11-14	15	10199,139966211504
2022-11-14	16	10157,088183906111
2022-11-14	17	10154,982538852119
2022-11-14	19	9829,1409175711
2022-11-14	20	9939,503738666905
2022-11-14	21	10152,711301745097
2022-11-14	22	10440,591275308501
2022-11-14	23	10127,345519300301
2022-11-14	24	9641,905680342807
2022-11-14	1	8655,609922559603
2022-11-14	2	8348,789517006606
2022-11-14	5	8065,334744642299
2022-11-14	18	9991,815524534706
2022-11-14	3	8147,352809674203
2022-11-14	4	8020,360138209605
2022-11-13	1	8661,843346785101
2022-11-13	3	8140,6062858763025
2022-11-13	4	7978,6035664997
2022-11-13	5	7896,813266922001
2022-11-13	6	7880,960298124002
2022-11-13	7	7760,0008602194985
2022-11-13	8	7640,7891603695025
2022-11-13	9	7695,545851976307
2022-11-13	10	8103,992125447405
2022-11-13	11	8441,1236517175
2022-11-13	12	8599,826680997505
2022-11-13	13	8728,507973075295
2022-11-13	14	8928,387080517898
2022-11-13	16	8843,834201523201
2022-11-13	2	8394,3761115724
2022-11-13	15	8950,57383947909
2022-11-13	17	8752,802265939794
2022-11-13	18	8704,86253079059
2022-11-13	19	8775,59309630689
2022-11-13	20	8982,540987795197
2022-11-13	21	9463,8476918466
2022-11-13	22	9862,381223852995
2022-11-13	23	9629,672932212403
2022-11-13	24	9096,268329441704
2022-11-12	1	9191,401749774703
2022-11-12	2	8859,779493675103
2022-11-12	3	8607,892780099402
2022-11-12	4	8450,535859700496
2022-11-12	5	8371,7580581722
2022-11-12	6	8363,4031151012
2022-11-12	7	8379,597135624004
2022-11-12	8	8374,586656345606
2022-11-12	9	8679,084037308898
2022-11-12	10	9194,280739450702
2022-11-12	11	9475,641751257901
2022-11-12	12	9605,04206250529
2022-11-12	14	9727,238949392211
2022-11-12	15	9655,4376182033
2022-11-12	16	9483,853888257101
2022-11-12	17	9372,35000885649
2022-11-12	18	9277,403581040715
2022-11-12	19	9254,557074792197
2022-11-12	20	9319,996586655596
2022-11-12	21	9581,671108511004
2022-11-12	22	9776,064593810002
2022-11-12	23	9442,132907497393
2022-11-12	24	9082,999640956197
2022-11-12	13	9655,538543970102
2022-11-11	1	9123,807742351002
2022-11-11	2	8784,1162610563
2022-11-11	3	8585,4003141198
2022-11-11	4	8501,041999713705
2022-11-11	5	8387,885577474499
2022-11-11	6	8512,044998784204
2022-11-11	7	8879,278090731903
2022-11-11	8	9358,38385920501
2022-11-11	9	9786,657000866298
2022-11-11	10	10020,367533739705
2022-11-11	12	10359,720198381909
2022-11-11	13	10392,040338681292
2022-11-11	14	10405,814117389895
2022-11-11	15	10474,837116771781
2022-11-11	16	10425,983282599618
2022-11-11	17	10215,365784819607
2022-11-11	18	10020,228841157203
2022-11-11	19	9791,34295383
2022-11-11	20	9874,554027002197
2022-11-11	21	10199,633784661906
2022-11-11	22	10259,404368194608
2022-11-11	23	9958,244639971908
2022-11-11	11	10309,676294717998
2022-11-11	24	9597,642974163304
2022-11-10	1	8987,285579630307
2022-11-10	2	8617,780497102405
2022-11-10	3	8415,664602913
2022-11-10	4	8366,720384225597
2022-11-10	5	8398,920087767694
2022-11-10	6	8478,846311585803
2022-11-10	7	8794,712499971194
2022-11-10	8	9213,464057510002
2022-11-10	10	9957,028647044195
2022-11-10	11	10096,980204415619
